address,name,online_order,book_table,rate,votes,phone,location,rest_type,cuisines,approx_cost(for two people),menu_item,listed_in(type),listed_in(city)
"146, 50 ft Road, 3rd Phase, 3rd Stage, Near Katriguppe Water Tank Circle, Banashankari, Bangalore",The Vintage Cafe,Yes,No,3.0/5,62,"+91 9880016665
+91 8217311687",Banashankari,Cafe,"Cafe, French, North Indian",400,"['Coffee', 'Waffles', 'Dehati Chicken', 'Chaat', 'Chicken Grill']",Cafes,Banashankari
"3353, 2nd Cross, Opposite Auden School, Hoskerehalli Cross, 3rd Stage, Banashankari, Bangalore",Woodee Pizza,Yes,No,3.7/5,180,+91 7406822844,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",500,"['Rajma Chawal', 'Pancakes', 'Paper Plain Dosa', 'Sali Boti', 'Hot Chocolate']",Cafes,Banashankari
"SRF Complex, Near BDA Complex, Kathreguppe Main Road, Banashankari, Bangalore",Cafe Coffee Day,No,No,3.6/5,28,080 32486296,Banashankari,Cafe,"Cafe, Fast Food",900,"['Tea', 'Burgers', 'Pasta', 'Pizza', 'Quinoa Salad']",Cafes,Banashankari
"224/Y, 4th Phase, 7th Block, 100 Feet Ring Road, Near Kamakya Theatre, Banashankari, Bangalore",My Tea House,Yes,No,3.6/5,62,"080 65975430
+91 7337733798",Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",600,"['Dahi Kebab', 'Burgers', 'Pancakes', 'Fries', 'Hummus Platter']",Cafes,Banashankari
"775/1, Opposite Gupta Collage, 7th Block, 3rd Stage, Banashankari, Bangalore",Hide Out Cafe,No,No,3.7/5,31,+91 9901481185,Banashankari,Cafe,Cafe,300,"['Salad', 'Wedges', 'Cutting Chai', 'Poha', 'Coffee']",Cafes,Banashankari
"101, Water Tank Road, 2nd Block, 3rd Stage, Banashankari, Bangalore",CAFE NOVA,No,No,3.2/5,11,+91 8971090261,Banashankari,Cafe,"Cafe, Bakery",600,"['Chocolate Cake', 'Hot Chocolate', 'Cheesecake', 'Healthy Breakfast', 'Chocolate Decadence']",Cafes,Banashankari
"27th Cross Rd, Banashankari Stage II, Banashankari, Bangalore",Coffee Tindi,Yes,No,3.8/5,75,+91 9945758046,Banashankari,"Cafe, Quick Bites","Cafe, South Indian",200,"['Burgers', 'Beer', 'Poha', 'Appam', 'Rice']",Cafes,Banashankari
"1036, Srinidhi Plaza, 3rd floor, Above Nilgiris, Stage 2, Banashankari, Bangalore",Sea Green Cafe,No,No,3.3/5,4,+91 9008628448,Banashankari,Cafe,"Cafe, Fast Food, Beverages",500,"['Macaroni', 'Butter Chicken', 'Burgers', 'Pasta', 'Fries']",Cafes,Banashankari
"940, Shantha Complex, 20th Main, 2nd Stage, Banashankari, Bangalore",Cuppa,No,No,3.3/5,23,+91 9591111123,Banashankari,Cafe,"Cafe, Fast Food",550,"['Crispy Chicken', 'Orange Juice', 'Chicken Kasha', 'Pav Bhaji', 'Maggi']",Cafes,Banashankari
"112, Bull Temple Road,next to more Basavanagudi, Bangalore",Srinathji's Cafe,No,No,3.8/5,148,"080 26600704
+91 9342593424",Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550,"['Long Island Iced Tea', 'Jowar Roti', 'Sweet Corn Chicken Soup', 'Panneer Butter Masala', 'Chocolate Fudge']",Cafes,Banashankari
"30, Surveyor Street, DVG Road, Basavanagudi, Bangalore",Redberrys,Yes,No,4.0/5,219,+91 9148421256,Basavanagudi,Cafe,"Cafe, Italian",600,"['Pasta', 'Tea', 'Chicken Lasagne', 'Peri Peri Pizza', 'Pizza']",Cafes,Banashankari
"2/1, 7th Main, Dwarakangar, Hosakeregalli, Banashankari, Bangalore",Foodiction,Yes,No,2.8/5,506,+91 9916107070,Banashankari,Quick Bites,"North Indian, Fast Food, Chinese, Burger",500,"['Fish', 'Cocktails', 'Popcorn Chicken', 'Pancakes', 'Burgers']",Delivery,Banashankari
"101 Ground Floor, Manjunatha Complex, 22nd Main Road, Banashankari, Bangalore",Sweet Truth,Yes,No,3.9/5,35,+91 7710055553,Banashankari,Delivery,"Bakery, Desserts",500,"['Coffee', 'Fruit Tart', 'Chocolate Cake', 'Eggless Cake', 'Brownie Chocolate']",Delivery,Banashankari
"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",Ovenstory Pizza,Yes,No,3.9/5,172,+91 7738383000,Banashankari,Delivery,Pizza,750,"['Thin Crust Pizza', 'Margarita', 'Butter Chicken', 'Veggie Pizza', 'Veg Supreme Pizza']",Delivery,Banashankari
"80, BDA Complex, 2nd Stage, Banashankari, Bangalore",Faasos,Yes,No,4.2/5,415,+91 7700020020,Banashankari,Quick Bites,"North Indian, Biryani, Fast Food",500,"['Chilli Chicken', 'Cocktails', 'Paneer Wrap', 'Biryani', 'Thali']",Delivery,Banashankari
"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",Behrouz Biryani,Yes,No,3.9/5,230,"+91 7022260661
+91 7022260662",Banashankari,Delivery,Biryani,650,"['Basmati Rice', 'Chicken Biryani', 'Chicken Kebab', 'Thali', 'Kerala Parotta']",Delivery,Banashankari
"32, 7th Main Road, Dwaraka Nagar,Near PES College, Banashankari, Bangalore",Fast And Fresh,Yes,No,2.8/5,91,+91 9742974232,Banashankari,Quick Bites,"North Indian, Chinese, Fast Food",400,"['Beer', 'Brownie Chocolate', 'Poha', 'Sandwiches', 'Achari Chicken']",Delivery,Banashankari
"8, 2nd Floor, 1st Main, Arush Trapeze, Mount Joy Road, Behind BMS College of Engineering, Hanumanthnagar, Banashankari, Bangalore",Szechuan Dragon,Yes,No,4.2/5,1647,"00 919663567711
+91 9916326323",Banashankari,Casual Dining,"Chinese, Thai, Momos",600,"['Fish', 'Salad', 'Vada', 'Som Tam', 'Biryani']",Delivery,Banashankari
"4, Opposite NMKRV College, 21st C Cross Road, 3rd Block, Jayanagar, Bangalore",Empire Restaurant,Yes,No,4.4/5,4884,080 49653266,Jayanagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750,"['Dal Makhani', 'Chicken Biryani', 'Prompt Service', 'Stuffed Kulcha', 'Beef Curry']",Delivery,Banashankari
"556/A, Water Tank Road, 3rd Stage, Banashankari, Bangalore",Maruthi Davangere Benne Dosa,Yes,No,4.0/5,17,+91 9019563485,Banashankari,Quick Bites,South Indian,150,"['Chicken Curry', 'Appam', 'Lemon Rice', 'Chicken Boneless Biryani', 'Idli']",Delivery,Banashankari
"39, 3rd Main,4th Cross, Hanumanth Nagar, Near, Basavanagudi, Bangalore",Chaatimes,Yes,No,3.8/5,133,+91 8884232233,Basavanagudi,Quick Bites,"Street Food, Fast Food",200,"['Barfi', 'Samosa', 'Chaat', 'Chicken Curry', 'Poha']",Delivery,Banashankari
"Opp Vinayaka hospital, Near Seetha Circle , 80 Feet Road, Banashankari, Bangalore",Havyaka Mess,No,No,3.9/5,28,"+91 9243195843
+91 9243404670",Banashankari,Mess,South Indian,300,"['Chicken Grill', 'Samosa', 'Garlic Naan', 'Masala Dosa', 'Brain Fry']",Delivery,Banashankari
"2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore",McDonald's,Yes,No,3.9/5,286,"080 66000666
080 42005285",Banashankari,Quick Bites,"Burger, Fast Food",500,"['Rolls', 'Mocktails', 'Chicken Wings', 'Chai', 'Pasta Alfredo']",Delivery,Banashankari
"645, 1st Floor, 24th Cross, 24th Main, 2nd Stage, Banashankari, Bangalore",Domino's Pizza,Yes,No,3.9/5,540,"080 26710070
18602100000",Banashankari,Quick Bites,"Pizza, Fast Food",800,"['Sandwich', 'Donut', 'Chicken Keema Burger', 'Murgh Malai', 'Faluda']",Delivery,Banashankari
"2nd Stage, Banashankari, Bangalore",Hotboxit,No,No,3.8/5,36,"+91 7026677677
+91 7026577577",Banashankari,Delivery,"North Indian, Continental, Italian",400,"['Pasta Alfredo', 'Pasta', 'Masala Chai', 'Clear Soup', 'Chole']",Delivery,Banashankari
"1750, 14th Main, Police Station Road, Kumaraswamy Layout, Bangalore",Kitchen Garden,Yes,No,3.6/5,244,080 49652867,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",300,"['Chilli Chicken', 'Beef Nachos', 'Draught Beer', 'Thali', 'Biryani']",Delivery,Banashankari
"1621, 1st Floor, 50 Feet Main Road, Kumaraswamy Layout, Bangalore",Recipe,Yes,No,4.0/5,804,"+91 8043755256
+91 9886073774",Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Rolls",450,"['Noodles', 'Mutton Roganjosh', 'Vada Pav', 'Tandoori Chicken', 'Biryani']",Delivery,Banashankari
"179, 1st Floor, Jawarlalnehru Road, BEML Layout, Rajarajeshwari Nagar, Bangalore",Beijing Bites,Yes,No,3.7/5,679,"080 28606888
080 28606886",Rajarajeshwari Nagar,Casual Dining,"Chinese, Thai",850,"['Thai Wok Chicken', 'Noodles', 'Tea', 'Murgh Ghee Roast', 'Salad']",Delivery,Banashankari
"1607, Sagar Hospital Road, Near Dayanandasagar College, Kumaraswamy Layout, Bangalore",Tasty Bytes,Yes,No,3.1/5,245,"+91 8553317408
+91 7899687127",Kumaraswamy Layout,Quick Bites,"North Indian, Chinese, Momos, Rolls",300,"['Mutton Seekh Roll', 'Lunch Buffet', 'Omelette', 'Beda Roti', 'Paneer Biryani']",Delivery,Banashankari
"276, Ground Floor, 100 Feet Outer Ring Road, Banashankari 3rd Stage, Banashankari, Bangalore",Petoo,No,No,3.7/5,21,+91 8026893211,Banashankari,Quick Bites,North Indian,450,"['Malai Kofta', 'Dahipuri', 'Paratha', 'Paneer Tikka', 'Dal Makhani']",Delivery,Banashankari
"1514, 4th Cross, 7th Main, RPC layout, 2nd Stage, Vijay Nagar, Bangalore",Shree Cool Point,Yes,No,4.1/5,28,+91 9900617124,Vijay Nagar,Quick Bites,"Fast Food, Street Food, Beverages",150,"['Thali', 'Dum Aloo', 'Burgers', 'Panipuri', 'Chaat']",Delivery,Banashankari
"808/6-1, 24th A Cross, K.R Road, 2nd Stage, Banashankari, Bangalore",Corner House Ice Cream,No,No,4.3/5,345,"080 26713965
+91 9845444155",Banashankari,Dessert Parlor,"Ice Cream, Desserts",400,"['Cocktails', 'Chocolate Peanut Butter', 'Pesto Pasta', 'Panipuri', 'Irish Coffee']",Delivery,Banashankari
"178, Next To Old KEB Office, 8th F Main Road, 24b Cross, 3rd Block, Jayanagar, Bangalore",Biryanis And More,Yes,No,4.0/5,618,"080 48542442
+91 7337271771",Jayanagar,Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian",750,"['Chicken Biryani', 'Paneer Biryani', 'Hakka Noodles', 'Chaat', 'Spring Roll']",Delivery,Banashankari
"78, 21st Main Road, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",Roving Feast,No,No,4.0/5,1047,"080 42024092
080 42274242",Banashankari,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos",450,"['Sandwiches', 'Custard Apple Cream', 'Thukpa', 'Beer', 'Noodle']",Delivery,Banashankari
"10, Stavyah Arcade, 3rd Floor 9th Main, Yarab Nagar Main Road, Banashankari, Bangalore",FreshMenu,Yes,No,3.9/5,627,080 40424242,Banashankari,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,"['Aloo Paratha', 'Freak Shake', 'Cocktails', 'Pasta Alfredo', 'Burgers']",Delivery,Banashankari
"218/1,11th Main, 50 Feet Road, Hanumanthnagar, Banashankari, Bangalore",Banashankari Donne Biriyani,Yes,No,3.8/5,104,+91 9845632456,Banashankari,Quick Bites,"Biryani, Fast Food",300,"['Biryani', 'Chicken Biryani', 'Paneer Tikka Masala', 'Bamboo Biryani', 'Hara Bhara Kebab']",Delivery,Banashankari
"2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore",Wamama,Yes,Yes,4.2/5,354,"+91 8042111599
+91 8971818009",Banashankari,Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800,"['Shawarma', 'Burgers', 'Roti', 'Salad', 'Tom Yum Soup']",Delivery,Banashankari
"484/A, 1st Stage, 2nd Block, 4th Main Rd, SBM Colony, Seetha Circle, Banashankari, Bangalore",Five Star Chicken,No,No,3.6/5,55,080 41716035,Banashankari,Quick Bites,"Fast Food, Burger",200,"['Chicken Burger', 'French Fries', 'Sandwiches', 'Fish', 'Burgers']",Delivery,Banashankari
"18, B K Complex, Opposite To BDA Complex, 21st, Main Road, 2nd Stage, Banashankari, Bangalore",XO Belgian Waffle,Yes,No,3.7/5,17,+91 9920950331,Banashankari,Dessert Parlor,"Desserts, Beverages",400,"['Bajji', 'Mango Blast', 'Latte', 'Kesar Pista', 'Tacos']",Delivery,Banashankari
"942, 3rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore",Peppy Peppers,No,No,4.2/5,244,"+91 8042297555
+91 7022455300",Banashankari,Casual Dining,"Italian, North Indian, Mexican",800,"['Fish', 'Garlic Bread', 'Rolls', 'Nachos', 'Cheese Balls']",Delivery,Banashankari
"1828, 50 Feet Road, 2nd Stage, Kumaraswamy Layout, Bangalore",Goa 0 Km,Yes,Yes,3.6/5,163,080 49653548,Kumaraswamy Layout,Casual Dining,"Goan, Seafood, North Indian, Chinese, Biryani",800,"['Andhra Biryani', 'Chicken Guntur', 'Paratha', 'Dal Makhani', 'Masala Peanuts']",Delivery,Banashankari
"67, Kanasu Complex, Kubirmutt Road, Hunumathathangar, Basavanagudi, Bangalore",Chinese Kitchen,Yes,No,3.8/5,58,"+91 9845914270
+91 8884889088",Basavanagudi,Quick Bites,Chinese,150,"['Butter Chicken', 'Pizza', 'Rice', 'Mojito', 'Dal Tadka']",Delivery,Banashankari
"296, Ram Towers, 100 Feet Ring Road, Banashankari, Bangalore",1947,No,Yes,4.0/5,808,"080 26791213
+91 9739989446",Banashankari,Casual Dining,"North Indian, Chinese",850,"['Mocktails', 'Exotic Veg Pizza', 'Chole Bhature', 'Lassi', 'Palak Paneer']",Delivery,Banashankari
"295/B, 7th Main Road, 100 Feet Ring Road, 7th Block, 3rd Stage, Banashankari, Bangalore",Cake of the Day,No,No,3.7/5,78,080 22977725,Banashankari,"Bakery, Dessert Parlor",Bakery,150,"['Pasta', 'Coffee', 'Pesto Pasta', 'Red Velvet Cake', 'Sandwich']",Delivery,Banashankari
"31, Opposite Vijaya College, RV Road, Basavanagudi, Bangalore",Kabab Magic,Yes,No,4.1/5,1720,080 26570381,Basavanagudi,Quick Bites,"North Indian, Kebab, Chinese, Fast Food",400,"['Chicken Tikka Biryani', 'Butter Naan', 'Pav Bhaji', 'Vegetarian', 'Draught Beer']",Delivery,Banashankari
"30th Cross, 8th Main, Near Jain Temple, 4th Block, Jayanagar, Bangalore",Namma Brahmin's Idli,Yes,No,3.6/5,34,+91 8310555879,Jayanagar,Quick Bites,South Indian,100,"['Masala Dosa', 'Nachos', 'Pav Bhaji', 'Coffee', 'Brain Fry']",Delivery,Banashankari
"10, 30th Main, Deve Gowda Petrol Bunk Road, 3rd Stage, Banashankari, Bangalore",Gustoes Beer House,No,No,4.1/5,868,080 49653521,Banashankari,Pub,"Continental, Italian, Mexican, North Indian, Chinese, Steak","1,200","['Veg Nachos', 'Pizza', 'Butter Naan', 'Hazelnut Mousse Flan', 'Sandwiches']",Delivery,Banashankari
"186, 11th Main, 4th Cross, Hanumanthnagar, Banashankari, Bangalore",Sugar Rush,No,No,3.8/5,39,+91 9916366551,Banashankari,Bakery,"Bakery, Desserts",300,"['Hot Chocolate', 'Cup Cake', 'Swiss Roll', 'Chocolate Truffle', 'Chocolate Decadence']",Delivery,Banashankari
"59/3, Ground & First Floor, West Anjaneya Temple Road, Ward 49, Gandhi Bazaar, Basavanagudi, Bangalore",Burger King,Yes,No,3.2/5,71,091 8147302939,Basavanagudi,Quick Bites,"Burger, Fast Food, Beverages",600,"['Nachos', 'Waffles', 'Hot Dog', 'Burgers', 'Garlic Bread']",Delivery,Banashankari
"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",The Good Bowl,Yes,No,3.6/5,6,+91 8042172269,Banashankari,"Takeaway, Delivery","Italian, North Indian, Biryani",500,"['Pizza', 'Dal Makhani', 'Bhindi Masala', 'Beer', 'Crispy Chicken']",Delivery,Banashankari
"476, 2nd Floor, 9th Cross, Avalahalli BDA Park, BSK 3rd Stage, Banashankari, Bangalore",The Biryani Cafe,No,No,4.1/5,520,+91 7010846043,Banashankari,Quick Bites,"Biryani, Chinese, Kebab",300,"['Biryani', 'Butter Chicken', 'Lemon Tea', 'Mutton Biryani', 'Paneer Biryani']",Delivery,Banashankari
"Opposite ICICi Bank, Hanuman Nagar, Banashankari, Bangalore",Spicy Tandoor,No,No,NEW,0,+91 8050884222,Banashankari,Quick Bites,North Indian,150,"['Rice', 'Sea Food', 'Chicken Tikka Biryani', 'Dal Makhani', 'Paratha']",Delivery,Banashankari
"100 Feet Road, 3rd Stage, Banashankari, Bangalore",LSD Cafe,No,No,2.9/5,84,080 65600000,Banashankari,Delivery,"Chinese, Continental, Italian, North Indian",700,"['Chilli Chicken', 'Tandoori Chicken', 'Pasta', 'Risotto', 'Beer']",Delivery,Banashankari
"Shop 33 & 30, 21st Main, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",Rolls On Wheels,No,No,3.6/5,299,"+91 9071734101
+91 9071496800",Banashankari,Quick Bites,"Fast Food, Rolls, Momos",300,"['Chicken Guntur', 'Cream Mango', 'White Sauce Pasta', 'Rolls', 'Vanilla Ice Cream']",Delivery,Banashankari
"39, S B M Colony, Near-Sita Circle, 1st Stage, Banashankari, Bengaluru",Om Sri Vinayaka Chats,No,No,NEW,0,+91 8553206035,Banashankari,"Takeaway, Delivery","Street Food, Fast Food",500,"['Popcorn', 'Sandwiches', 'Burgers', 'Paneer Roll', 'Chaat']",Delivery,Banashankari
"49/1, Subbaraoshetty Road, Netkallappa Circle, Basavanagudi, Bangalore",Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1/5,558,"+91 9448305384
+91 9060079480",Basavanagudi,Quick Bites,South Indian,150,"['Ghee Karam Dosa', 'Pongal', 'Vada', 'Thali', 'Roti']",Delivery,Banashankari
"16th Main Road, Near PESIT College, Banashankari, Bangalore",Devanna Dum Biriyani Centre,Yes,No,3.6/5,28,"+91 9980204944
080 26723722",Banashankari,Quick Bites,"Biryani, South Indian",300,"['Vegetable Biryani', 'Chicken Guntur', 'Beef Curry', 'Kesari Bath', 'Mutton Biryani']",Delivery,Banashankari
"1430, 22nd Cross, Next To Coffee Day, Near BDA Complex, Banashankari, Bangalore",Kolbeh,No,No,3.7/5,22,"+91 8050701820
+91 8904733516",Banashankari,Quick Bites,Fast Food,500,"['Ginger Tea', 'Nutella Waffle', 'Chicken Kolhapuri', 'Cheese Burst Pizza', 'Chicken Tikka']",Delivery,Banashankari
"727, 23rd Cross, KR Road, 2nd Stage, Banashankari, Bangalore",Upahar Sagar,No,No,3.8/5,39,"+91 9164571705
080 26760336",Banashankari,Quick Bites,"South Indian, Chinese, North Indian",350,"['Chicken Manchurian', 'Panipuri', 'Crispy Corn', 'Masala Dosa', 'Coffee']",Delivery,Banashankari
"36, 2nd Main, RPC Layout, Vijay Nagar, Bangalore",Kadalu Sea Food Restaurant,Yes,No,3.8/5,153,"+91 7337681786
+91 7337682786",Vijay Nagar,Fine Dining,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500,"['Mutton Biryani', 'Chilli Chicken', 'Dal Makhani', 'Alfam Chicken', 'Salad']",Delivery,Banashankari
"2477, 24th Cross Road, Siddanna Layout, Stage 2, Banashankari, Bangalore",Frozen Bottle,Yes,No,4.2/5,146,080 48664811,Banashankari,Beverage Shop,"Beverages, Desserts, Ice Cream",400,"['Banana Split', 'Brownie', 'Sandwich', 'Kulfi', 'Salted Caramel Brownie']",Delivery,Banashankari
"1142, 22nd Cross, 30th Main, Banashankari, Bangalore",Parimala Sweets,No,No,3.5/5,14,"+91 9738013203
080 49524132",Banashankari,Sweet Shop,"Mithai, Street Food",200,"['Brownie Chocolate', 'Kachori', 'Chole Bhature', 'Chaat', 'Thali']",Delivery,Banashankari
"512, 2nd Cross, 3rd Stage, Banashankari, Bangalore",Vaishali Deluxe,No,No,3.8/5,42,"+91 9886092321
+91 8861776666",Banashankari,Casual Dining,"North Indian, Chinese",700,"['Biryani', 'Egg Noodles', 'Prawn Dumplings', 'Panneer Butter Masala', 'Sea Food']",Delivery,Banashankari
"161/C, 6th Main, 80 Feet Road, Bhuvaneshwari Nagercoil, Banashankari, Bangalore",Chill Out,No,No,,0,+91 9341215167,Banashankari,Quick Bites,"South Indian, Chinese",100,"['Lunch Buffet', 'Andhra Meal', 'Chilli Chicken', 'Noodles', 'Idli']",Delivery,Banashankari
"45/12, 4th Cross, 10th Main, Gururaja Layout, Banashankari, Bangalore",The Big O Bakes,No,No,4.0/5,66,+91 9845216137,Banashankari,Bakery,"Bakery, Desserts",300,"['Belgian Waffles', 'Chocolava Cake', 'Brownie', 'Baklava', 'Mousse']",Delivery,Banashankari
"52, 1st Floor, 33rd Cross, 4th Block, Jayanagar, Bangalore",Meghana Foods,Yes,No,4.4/5,4401,080 49653564,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese",600,"['Pizza', 'Rolls', 'Paneer Parantha', 'Chicken Biryani', 'Poha']",Delivery,Banashankari
